RUN	IPTS	Title	Notes	Sample	StartTime	Duration	ProtonCharge	TotalCounts	Monitor1	Monitor2	X	Y	Z	O	HROT	BandCentre	BandWidth	Frequency	Guide	IX	IY	IZ	IHA	IVA	Collimator	MTSDisplacement	MTSForce	MTSStrain	MTSStress	MTSAngle	MTSTorque	MTSLaser	MTSlaserstrain	MTSDisplaceoffset	MTSAngleceoffset	MTST1	MTST2	MTST3	MTST4	FurnaceT	FurnaceOT	FurnacePower	VacT	VacOT
       54653	IPTS-11415	Align: Zr tension annealed sample	annealed	In forms of tube with the outside diameter of 9.5mm, and the wall thickness of 0.6mm.	2014-10-26 21:27:53.700019666	6.399893	8278475783.299655	522.000000	1192.000000	6875.000000	10.0	-124.801	-86.604	45.0	29.998279	2.7	2.88	30.0	181.991	200.0	-0.099884	0.000274	5.009583	5.002586	0.0	-7.633178	63.19142	-5.8e-05	1.526503	34.910278	4.453084	-0.022178	-1.000757	0.729729	-0.235601	1371.993048	1372.015589	909.974421	1266.218932	63232.0	0.0	0.0	63232.0	0.0
       54654	IPTS-11415	Zr tension annealed sample	annealed	In forms of tube with the outside diameter of 9.5mm, and the wall thickness of 0.6mm.	2014-10-26 21:38:06.739809666	44968.084473	8693637459567.980469	13254223.000000	1432413.000000	8335531.000000	-0.307	-124.801	-86.604	45.0	29.998279	2.7	2.88	30.0	181.991	200.0	-0.099884	0.000274	5.009583	5.002586	0.0	-7.606911	73.041722	-5.8e-05	1.65784	34.880727	4.682924	-0.022178	-1.000757	0.703461	-0.202767	1371.993048	1372.015589	909.974421	1266.218932	63232.0	0.0	0.0	63232.0	0.0
       54652	IPTS-11415	Align: Zr tension annealed sample	annealed	In forms of tube with the outside diameter of 9.5mm, and the wall thickness of 0.6mm.	2014-10-26 21:27:39.450256666	6.59989	8350964664.714411	639.000000	1231.000000	7152.000000	7.992	-124.801	-86.604	45.0	29.998279	2.7	2.88	30.0	181.991	200.0	-0.099884	0.000274	5.009583	5.002586	0.0	-7.603627	66.474854	-5.8e-05	1.526503	34.89386	4.453084	-0.022178	-1.000757	0.716595	-0.219184	1371.993048	1372.015589	909.974421	1266.218932	63232.0	0.0	0.0	63232.0	0.0
       54654	IPTS-11415	Zr tension annealed sample	annealed	In forms of tube with the outside diameter of 9.5mm, and the wall thickness of 0.6mm.	2014-10-26 21:38:06.739809666	44968.084473	8693637459567.980469	13254223.000000	1432413.000000	8335531.000000	-0.307	-124.801	-86.604	45.0	29.998279	2.7	2.88	30.0	181.991	200.0	-0.099884	0.000274	5.009583	5.002586	0.0	-7.606911	73.041722	-5.8e-05	1.65784	34.880727	4.682924	-0.022178	-1.000757	0.703461	-0.202767	1371.993048	1372.015589	909.974421	1266.218932	63232.0	0.0	0.0	63232.0	0.0
       54645	IPTS-11415	Align: Zr tension annealed sample	annealed	In forms of tube with the outside diameter of 9.5mm, and the wall thickness of 0.6mm.	2014-10-26 21:26:01.085228666	6.516557	8371502510.271967	2251.000000	1224.000000	7118.000000	-6.004	-124.801	-86.604	45.0	29.998279	2.7	2.88	30.0	181.991	200.0	-0.099884	0.000274	5.009583	5.002586	0.0	-7.620044	63.19142	-5.8e-05	1.65784	34.900427	4.617256	-0.022178	-1.000757	0.719878	-0.242168	1371.993048	1372.015589	909.974421	1266.218932	63232.0	0.0	0.0	63232.0	0.0
       54655	IPTS-11415	Zr compression offline testing	annealed	In forms of tube with the outside diameter of 9.5mm, and the wall thickness of 0.6mm.	2014-10-28 15:16:45.543185666	1201.57999	0.000000	3430.000000	8.000000	19.000000	-0.307	-124.801	-86.604	45.0	29.998279	2.7	2.88	30.0	181.991	400.0	-0.099884	0.000274	5.009583	5.002586	0.0	5.090129	-127.247758	-4.3e-05	-2.413618	34.903711	2.253183	-0.022178	-1.000757	0.755996	-0.199483	1371.993048	1372.015589	909.974421	1266.218932	63232.0	0.0	0.0	63232.0	0.0
       54656	IPTS-11415	Zr tension to failure offline testing	annealed	In forms of tube with the outside diameter of 9.5mm, and the wall thickness of 0.6mm.	2014-10-28 15:38:01.738599666	1652.289151	0.000000	4624.000000	7.000000	14.000000	-0.307	-124.801	-86.604	45.0	29.998279	2.7	2.88	30.0	181.991	400.0	-0.099884	0.000274	5.009583	5.002586	0.0	-4.888227	82.892025	-4.8e-05	0.935485	34.903711	2.171097	-0.022178	-1.000757	0.736295	-0.199483	1371.993048	1372.015589	909.974421	1266.218932	63232.0	0.0	0.0	63232.0	0.0
       54652	IPTS-11415	Align: Zr tension annealed sample	annealed	In forms of tube with the outside diameter of 9.5mm, and the wall thickness of 0.6mm.	2014-10-26 21:27:39.450256666	6.59989	8350964664.714411	639.000000	1231.000000	7152.000000	7.992	-124.801	-86.604	45.0	29.998279	2.7	2.88	30.0	181.991	200.0	-0.099884	0.000274	5.009583	5.002586	0.0	-7.603627	66.474854	-5.8e-05	1.526503	34.89386	4.453084	-0.022178	-1.000757	0.716595	-0.219184	1371.993048	1372.015589	909.974421	1266.218932	63232.0	0.0	0.0	63232.0	0.0
       54651	IPTS-11415	Align: Zr tension annealed sample	annealed	In forms of tube with the outside diameter of 9.5mm, and the wall thickness of 0.6mm.	2014-10-26 21:27:25.650486666	6.249895	8064067093.073390	1870.000000	1178.000000	6775.000000	5.997	-124.801	-86.604	45.0	29.998279	2.7	2.88	30.0	181.991	200.0	-0.099884	0.000274	5.009583	5.002586	0.0	-7.59706	79.60859	-5.8e-05	1.526503	34.929978	4.485918	-0.022178	-1.000757	0.690327	-0.212617	1371.993048	1372.015589	909.974421	1266.218932	63232.0	0.0	0.0	63232.0	0.0
       54653	IPTS-11415	Align: Zr tension annealed sample	annealed	In forms of tube with the outside diameter of 9.5mm, and the wall thickness of 0.6mm.	2014-10-26 21:27:53.700019666	6.399893	8278475783.299655	522.000000	1192.000000	6875.000000	10.0	-124.801	-86.604	45.0	29.998279	2.7	2.88	30.0	181.991	200.0	-0.099884	0.000274	5.009583	5.002586	0.0	-7.633178	63.19142	-5.8e-05	1.526503	34.910278	4.453084	-0.022178	-1.000757	0.729729	-0.235601	1371.993048	1372.015589	909.974421	1266.218932	63232.0	0.0	0.0	63232.0	0.0
