X , Y0 , E0
0 , 0 , 0
0.02 , 1.95161 , 0.00129509
0.03 , 2.36293 , 0.00259015
0.04 , 2.14217 , 0.0038902
0.05 , 1.1507 , 0.00486083
0.06 , -0.695026 , 0.00526755
0.07 , -3.41738 , 0.00503753
0.08 , -6.97588 , 0.00427367
0.09 , -11.2698 , 0.00321825
0.1 , -16.1451 , 0.00217829
0.11 , -21.4048 , 0.00143546
0.12 , -26.8224 , 0.00116775
0.13 , -32.1573 , 0.00140501
0.14 , -37.1706 , 0.00203015
0.15 , -41.6409 , 0.00282332
0.16 , -45.3785 , 0.00353374
0.17 , -48.237 , 0.00395635
0.18 , -50.1222 , 0.00398984
0.19 , -50.9964 , 0.00365966
0.2 , -50.8793 , 0.00310089
0.21 , -49.8448 , 0.00250874
0.22 , -48.0141 , 0.00207358
0.23 , -45.5453 , 0.00192182
0.24 , -42.6218 , 0.00208054
0.25 , -39.4386 , 0.00247565
0.26 , -36.1884 , 0.00296222
0.27 , -33.0485 , 0.00337553
0.28 , -30.17 , 0.00358531
0.29 , -27.6684 , 0.00353577
0.3 , -25.6179 , 0.00325927
0.31 , -24.0489 , 0.00286065
0.32 , -22.9488 , 0.00247889
0.33 , -22.2664 , 0.00223963
0.34 , -21.9185 , 0.00221464
0.35 , -21.7986 , 0.00240096
0.36 , -21.788 , 0.00272577
0.37 , -21.766 , 0.00307387
0.38 , -21.6204 , 0.00332801
0.39 , -21.257 , 0.00340787
0.4 , -20.6069 , 0.00329505
0.41 , -19.6313 , 0.00303632
0.42 , -18.3238 , 0.00272512
0.43 , -16.7104 , 0.00246825
0.44 , -14.8454 , 0.0023496
0.45 , -12.8069 , 0.00240306
0.46 , -10.6889 , 0.00260325
0.47 , -8.59328 , 0.00287649
0.48 , -6.62106 , 0.00312753
0.49 , -4.86383 , 0.0032725
0.5 , -3.39644 , 0.00326664
0.51 , -2.2712 , 0.0031179
0.52 , -1.51409 , 0.00288227
0.53 , -1.12325 , 0.00264302
0.54 , -1.06981 , 0.00248155
0.55 , -1.30095 , 0.00244989
0.56 , -1.74482 , 0.00255415
0.57 , -2.31693 , 0.00275401
0.58 , -2.92733 , 0.00297808
0.59 , -3.48814 , 0.00314911
0.6 , -3.92061 , 0.00321053
0.61 , -4.16129 , 0.00314496
0.62 , -4.16671 , 0.00297886
0.63 , -3.91629 , 0.00277216
0.64 , -3.41327 , 0.00259675
0.65 , -2.68365 , 0.00251166
0.66 , -1.77321 , 0.00254326
0.67 , -0.743035 , 0.00267728
0.68 , 0.336163 , 0.00286488
0.69 , 1.39032 , 0.0030403
0.7 , 2.34841 , 0.00314387
0.71 , 3.14843 , 0.00314217
0.72 , 3.74236 , 0.00303878
0.73 , 4.09989 , 0.00287198
0.74 , 4.21048 , 0.00270072
0.75 , 4.0837 , 0.00258387
0.76 , 3.74785 , 0.00256008
0.77 , 3.24699 , 0.00263502
0.78 , 2.63675 , 0.00278035
0.79 , 1.97917 , 0.00294429
0.8 , 1.33722 , 0.00306999
0.81 , 0.769307 , 0.00311515
0.82 , 0.324323 , 0.00306624
0.83 , 0.0376619 , 0.00294238
0.84 , -0.0715355 , 0.00278803
0.85 , -0.00164683 , 0.00265709
0.86 , 0.231712 , 0.00259412
0.87 , 0.597463 , 0.00261927
0.88 , 1.05215 , 0.00272186
0.89 , 1.54406 , 0.00286479
0.9 , 2.01796 , 0.00299785
0.91 , 2.42009 , 0.00307534
0.92 , 2.70291 , 0.00307168
0.93 , 2.8293 , 0.00298984
0.94 , 2.77571 , 0.00285971
0.95 , 2.53411 , 0.00272722
0.96 , 2.11263 , 0.00263824
0.97 , 1.53469 , 0.00262273
0.98 , 0.836882 , 0.00268473
0.99 , 0.0657378 , 0.00280149
1 , -0.726341 , 0.00293176
1.01 , -1.4856 , 0.0030304
1.02 , -2.16151 , 0.003064
1.03 , -2.71101 , 0.00302215
1.04 , -3.10209 , 0.00292064
1.05 , -3.31633 , 0.00279557
1.06 , -3.35034 , 0.00269052
1.07 , -3.21577 , 0.00264148
1.08 , -2.9382 , 0.00266454
1.09 , -2.55474 , 0.00275076
1.1 , -2.11076 , 0.00286963
1.11 , -1.6559 , 0.00297991
1.12 , -1.23987 , 0.00304396
1.13 , -0.908218 , 0.00304056
1.14 , -0.698569 , 0.00297182
1.15 , -0.637597 , 0.00286201
1.16 , -0.738954 , 0.00274881
1.17 , -1.00236 , 0.00267014
1.18 , -1.4139 , 0.00265122
1.19 , -1.94745 , 0.00269628
1.2 , -2.56715 , 0.00278769
1.21 , -3.23067 , 0.00289261
1.22 , -3.89294 , 0.00297472
1.23 , -4.5101 , 0.00300684
1.24 , -5.04321 , 0.00298017
1.25 , -5.46157 , 0.00290679
1.26 , -5.74517 , 0.00281492
1.27 , -5.88625 , 0.00273863
1.28 , -5.88976 , 0.00270572
1.29 , -5.77265 , 0.00272796
1.3 , -5.56224 , 0.00279722
1.31 , -5.29361 , 0.00288857
1.32 , -5.00642 , 0.00296927
1.33 , -4.74131 , 0.00301043
1.34 , -4.53633 , 0.00299711
1.35 , -4.42359 , 0.00293354
1.36 , -4.42649 , 0.00284148
1.37 , -4.55772 , 0.00275256
1.38 , -4.8182 , 0.00269717
1.39 , -5.19712 , 0.00269397
1.4 , -5.67293 , 0.00274344
1.41 , -6.21526 , 0.00282796
1.42 , -6.7876 , 0.00291801
1.43 , -7.35049 , 0.00298257
1.44 , -7.86492 , 0.0029998
1.45 , -8.29567 , 0.00296452
1.46 , -8.61424 , 0.00288977
1.47 , -8.80129 , 0.00280209
1.48 , -8.8481 , 0.00273214
1.49 , -8.75725 , 0.00270403
1.5 , -8.54222 , 0.00272706
1.51 , -8.22613 , 0.00279266
1.52 , -7.83957 , 0.00287758
1.53 , -7.41788 , 0.00295214
1.54 , -6.99805 , 0.0029906
1.55 , -6.61546 , 0.00298004
1.56 , -6.30083 , 0.00292469
1.57 , -6.07762 , 0.0028443
1.58 , -5.96002 , 0.00276709
1.59 , -5.95189 , 0.00271989
1.6 , -6.04647 , 0.00271885
1.61 , -6.22711 , 0.00276394
1.62 , -6.46888 , 0.00283914
1.63 , -6.74081 , 0.00291815
1.64 , -7.00872 , 0.00297362
1.65 , -7.23828 , 0.00298659
1.66 , -7.3981 , 0.00295299
1.67 , -7.46255 , 0.00288484
1.68 , -7.41402 , 0.00280592
1.69 , -7.24458 , 0.00274344
1.7 , -6.9567 , 0.00271856
1.71 , -6.5631 , 0.00273918
1.72 , -6.08578 , 0.00279741
1.73 , -5.55411 , 0.00287253
1.74 , -5.00244 , 0.0029383
1.75 , -4.46717 , 0.00297223
1.76 , -3.98371 , 0.00296324
1.77 , -3.5835 , 0.0029154
1.78 , -3.29139 , 0.00284627
1.79 , -3.12355 , 0.00278064
1.8 , -3.08618 , 0.00274172
1.81 , -3.175 , 0.00274311
1.82 , -3.37572 , 0.0027841
1.83 , -3.66524 , 0.00285008
1.84 , -4.01372 , 0.00291777
1.85 , -4.38711 , 0.00296342
1.86 , -4.75012 , 0.00297113
1.87 , -5.0692 , 0.00293831
1.88 , -5.3154 , 0.00287652
1.89 , -5.46686 , 0.00280734
1.9 , -5.51058 , 0.00275477
1.91 , -5.44357 , 0.0027369
1.92 , -5.27299 , 0.00275965
1.93 , -5.01553 , 0.00281481
1.94 , -4.69588 , 0.00288303
1.95 , -4.34463 , 0.00294062
1.96 , -3.99553 , 0.00296779
1.97 , -3.68258 , 0.00295553
1.98 , -3.43705 , 0.00290864
1.99 , -3.28478 , 0.00284389
2 , -3.2439 , 0.00278413
2.01 , -3.32326 , 0.00275025
2.02 , -3.5217 , 0.00275392
2.03 , -3.82809 , 0.00279356
2.04 , -4.22238 , 0.002855
2.05 , -4.67736 , 0.00291643
2.06 , -5.16115 , 0.00295604
2.07 , -5.64003 , 0.00295965
2.08 , -6.08154 , 0.00292553
2.09 , -6.45754 , 0.00286505
2.1 , -6.74683 , 0.00279867
2.11 , -6.93725 , 0.0027489
2.12 , -7.02703 , 0.00273256
2.13 , -7.02514 , 0.0027551
2.14 , -6.95065 , 0.00280881
2.15 , -6.83123 , 0.00287565
2.16 , -6.70059 , 0.00293349
2.17 , -6.59535 , 0.00296374
2.18 , -6.55132 , 0.00295761
2.19 , -6.59966 , 0.00291891
2.2 , -6.76304 , 0.00286247
2.21 , -7.0523 , 0.00280881
2.22 , -7.46371 , 0.00277684
2.23 , -7.97725 , 0.00277736
2.24 , -8.55589 , 0.00280944
2.25 , -9.14624 , 0.00286091
2.26 , -9.68037 , 0.00291284
2.27 , -10.0788 , 0.00294629
2.28 , -10.2545 , 0.00294901
2.29 , -10.118 , 0.00291973
2.3 , -9.58245 , 0.00286852
2.31 , -8.56958 , 0.00281324
2.32 , -7.01489 , 0.00277318
2.33 , -4.87273 , 0.00276234
2.34 , -2.12041 , 0.00278452
2.35 , 1.23873 , 0.00283201
2.36 , 5.17362 , 0.00288833
2.37 , 9.62514 , 0.00293398
2.38 , 14.5073 , 0.00295322
2.39 , 19.7101 , 0.00293952
2.4 , 25.1032 , 0.00289777
2.41 , 30.5411 , 0.00284249
2.42 , 35.8695 , 0.00279276
2.43 , 40.9313 , 0.00276559
2.44 , 45.5734 , 0.00277007
2.45 , 49.6538 , 0.0028043
2.46 , 53.0469 , 0.00285616
2.47 , 55.6492 , 0.00290768
2.48 , 57.3836 , 0.00294125
2.49 , 58.2022 , 0.00294581
2.5 , 58.0878 , 0.00292056
2.51 , 57.0544 , 0.00287512
2.52 , 55.146 , 0.00282604
2.53 , 52.4335 , 0.00279095
2.54 , 49.012 , 0.00278235
2.55 , 44.9955 , 0.00280327
2.56 , 40.5121 , 0.00284629
2.57 , 35.6984 , 0.0028962
2.58 , 30.6937 , 0.00293539
2.59 , 25.6344 , 0.00295003
2.6 , 20.649 , 0.00293494
2.61 , 15.8539 , 0.00289532
2.62 , 11.349 , 0.00284494
2.63 , 7.21608 , 0.00280131
2.64 , 3.51599 , 0.0027795
2.65 , 0.288705 , 0.00278692
2.66 , -2.44662 , 0.00282076
2.67 , -4.69043 , 0.00286898
2.68 , -6.46071 , 0.00291452
2.69 , -7.79037 , 0.00294129
2.7 , -8.72416 , 0.00293973
2.71 , -9.31527 , 0.00291013
2.72 , -9.6219 , 0.00286255
2.73 , -9.70387 , 0.00281325
2.74 , -9.61959 , 0.00277915
