Change of Property Name                  Algorithm(s)

isValid -> IsValid                       CatalogListInstruments, CatalogListInvestigationTypes, cMyDataSearch
MinQdE_values -> QdEValuesMin            ConvertToQ3DdE
MaxQdE_values -> QdEValuesMax            ConvertToQ3DdE
tolerance -> Tolerance                   FindUBUsingMinMaxD, IndexPeaks
psi -> Psi                               SaveNXSPE
ki_over_kf_scaling -> KiOverKfScaling    SaveNXSPE
ForegroundModel_p1 -> ForegroundModelP1  SimulateMDD
ForegroundModel_p2 -> ForegroundModelP2  SimulateMDD
ForegroundModel_p3 -> ForegroundModelP3  SimulateMDD
BackgroundModel_p1 -> BackgroundModelP1  SimulateMDD
BackgroundModel_p2 -> BackgroundModelP2  SimulateMDD
BackgroundModel_p3 -> BackgroundModelP3  SimulateMDD
BackgroundModel_p4 -> BackgroundModelP4  SimulateMDD
BackgroundModel_p5 -> BackgroundModelP5  SimulateMDD
BackgroundModel_p6 -> BackgroundModelP6  SimulateMDD
BackgroundModel_p7 -> BackgroundModelP7  SimulateMDD
BackgroundModel_p8 -> BackgroundModelP8  SimulateMDD
HoverV_Min -> HOverVMin                  SumRowColumn
HoverV_Max -> HOverVMax                  SumRowColumn


FilterByT.._.. ->FilterByT....          LoadEventNexus ( LoadSNSEventNexus just calls LoadEventNexus ) CHANGE MADE BEFOREHAND

