DETECTOR.DAT generated by CREATE_DETECTOR_FILE
  286729      14
  det no.  offset    l2     code     theta        phi         w_x         w_y         w_z         f_x         f_y         f_z         a_x         a_y         a_z        det_1       det_2       det_3       det4
       11   0.000  -3.25800     1   180.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000          0.
       21   0.000  -1.50400     1   180.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000          0.
       22   0.000  -1.50400     1   180.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000          0.
       23   0.000  -1.50400     1   180.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000          0.
       24   0.000  -1.50400     1   180.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000          0.
       31   0.000   4.24700     1     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000          0.
       32   0.000   4.24700     1     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000          0.
       33   0.000   4.24700     1     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000          0.
       34   0.000   4.24700     1     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000          0.
  1110001   5.300   2.88936     3    52.28653  -140.67224     0.02540     0.02540     0.00283     0.02750     0.02750     0.00283   117.55245   -27.80874   -16.02646     5.00000    10.00000     0.00080        111.
  1110002   5.300   2.88794     3    52.26477  -140.72720     0.02540     0.02540     0.00283     0.02750     0.02750     0.00283   117.51162   -27.76268   -16.01560     5.00000    10.00000     0.00080        111.
  1110003   5.300   2.88652     3    52.24300  -140.78224     0.02540     0.02540     0.00283     0.02750     0.02750     0.00283   117.47075   -27.71655   -16.00469     5.00000    10.00000     0.00080        111.
  1110004   5.300   2.88511     3    52.22124  -140.83737     0.02540     0.02540     0.00283     0.02750     0.02750     0.00283   117.42982   -27.67037   -15.99371     5.00000    10.00000     0.00080        111.
  1110005   5.300   2.88370     3    52.19948  -140.89259     0.02540     0.02540     0.00283     0.02750     0.02750     0.00283   117.38885   -27.62413   -15.98267     5.00000    10.00000     0.00080        111.
  1110006   5.300   2.88229     3    52.17773  -140.94789     0.02540     0.02540     0.00283     0.02750     0.02750     0.00283   117.34782   -27.57784   -15.97156     5.00000    10.00000     0.00080        111.
  1110007   5.300   2.88088     3    52.15598  -141.00328     0.02540     0.02540     0.00283     0.02750     0.02750     0.00283   117.30675   -27.53149   -15.96040     5.00000    10.00000     0.00080        111.
  1110008   5.300   2.87947     3    52.13424  -141.05875     0.02540     0.02540     0.00283     0.02750     0.02750     0.00283   117.26563   -27.48509   -15.94917     5.00000    10.00000     0.00080        111.
  1110009   5.300   2.87807     3    52.11250  -141.11432     0.02540     0.02540     0.00283     0.02750     0.02750     0.00283   117.22446   -27.43862   -15.93788     5.00000    10.00000     0.00080        111.
  1110010   5.300   2.87666     3    52.09077  -141.16997     0.02540     0.02540     0.00283     0.02750     0.02750     0.00283   117.18324   -27.39211   -15.92653     5.00000    10.00000     0.00080        111.
  1110011   5.300   2.87527     3    52.06904  -141.22570     0.02540     0.02540     0.00283     0.02750     0.02750     0.00283   117.14197   -27.34553   -15.91511     5.00000    10.00000     0.00080        111.
  1110012   5.300   2.87387     3    52.04732  -141.28153     0.02540     0.02540     0.00283     0.02750     0.02750     0.00283   117.10065   -27.29890   -15.90364     5.00000    10.00000     0.00080        111.
  1110013   5.300   2.87247     3    52.02560  -141.33744     0.02540     0.02540     0.00283     0.02750     0.02750     0.00283   117.05929   -27.25222   -15.89210     5.00000    10.00000     0.00080        111.
  1110014   5.300   2.87108     3    52.00389  -141.39344     0.02540     0.02540     0.00283     0.02750     0.02750     0.00283   117.01787   -27.20547   -15.88049     5.00000    10.00000     0.00080        111.
  1110015   5.300   2.86969     3    51.98218  -141.44953     0.02540     0.02540     0.00283     0.02750     0.02750     0.00283   116.97640   -27.15868   -15.86882     5.00000    10.00000     0.00080        111.
  1110016   5.300   2.86830     3    51.96048  -141.50570     0.02540     0.02540     0.00283     0.02750     0.02750     0.00283   116.93489   -27.11182   -15.85709     5.00000    10.00000     0.00080        111.
  1110017   5.300   2.86691     3    51.93879  -141.56196     0.02540     0.02540     0.00283     0.02750     0.02750     0.00283   116.89332   -27.06491   -15.84530     5.00000    10.00000     0.00080        111.
  1110018   5.300   2.86552     3    51.91710  -141.61831     0.02540     0.02540     0.00283     0.02750     0.02750     0.00283   116.85171   -27.01795   -15.83344     5.00000    10.00000     0.00080        111.
  1110019   5.300   2.86414     3    51.89542  -141.67475     0.02540     0.02540     0.00283     0.02750     0.02750     0.00283   116.81004   -26.97092   -15.82151     5.00000    10.00000     0.00080        111.
  1110020   5.300   2.86276     3    51.87374  -141.73128     0.02540     0.02540     0.00283     0.02750     0.02750     0.00283   116.76833   -26.92385   -15.80952     5.00000    10.00000     0.00080        111.
  1110021   5.300   2.86138     3    51.85207  -141.78789     0.02540     0.02540     0.00283     0.02750     0.02750     0.00283   116.72657   -26.87671   -15.79747     5.00000    10.00000     0.00080        111.
  1110022   5.300   2.86001     3    51.83040  -141.84459     0.02540     0.02540     0.00283     0.02750     0.02750     0.00283   116.68476   -26.82952   -15.78535     5.00000    10.00000     0.00080        111.
  1110023   5.300   2.85863     3    51.80875  -141.90138     0.02540     0.02540     0.00283     0.02750     0.02750     0.00283   116.64289   -26.78228   -15.77317     5.00000    10.00000     0.00080        111.
  1110024   5.300   2.85726     3    51.78709  -141.95826     0.02540     0.02540     0.00283     0.02750     0.02750     0.00283   116.60098   -26.73498   -15.76093     5.00000    10.00000     0.00080        111.
  1110025   5.300   2.85589     3    51.76545  -142.01523     0.02540     0.02540     0.00283     0.02750     0.02750     0.00283   116.55902   -26.68762   -15.74861     5.00000    10.00000     0.00080        111.
  1110026   5.300   2.85452     3    51.74381  -142.07229     0.02540     0.02540     0.00283     0.02750     0.02750     0.00283   116.51701   -26.64021   -15.73624     5.00000    10.00000     0.00080        111.
  1110027   5.300   2.85315     3    51.72218  -142.12943     0.02540     0.02540     0.00283     0.02750     0.02750     0.00283   116.47494   -26.59274   -15.72379     5.00000    10.00000     0.00080        111.
  1110028   5.300   2.85179     3    51.70056  -142.18666     0.02540     0.02540     0.00283     0.02750     0.02750     0.00283   116.43283   -26.54522   -15.71128     5.00000    10.00000     0.00080        111.
  1110029   5.300   2.85043     3    51.67894  -142.24399     0.02540     0.02540     0.00283     0.02750     0.02750     0.00283   116.39067   -26.49764   -15.69871     5.00000    10.00000     0.00080        111.
  1110030   5.300   2.84907     3    51.65733  -142.30140     0.02540     0.02540     0.00283     0.02750     0.02750     0.00283   116.34846   -26.45001   -15.68607     5.00000    10.00000     0.00080        111.
  1110031   5.300   2.84771     3    51.63573  -142.35890     0.02540     0.02540     0.00283     0.02750     0.02750     0.00283   116.30620   -26.40232   -15.67336     5.00000    10.00000     0.00080        111.
  1110032   5.300   2.84636     3    51.61414  -142.41649     0.02540     0.02540     0.00283     0.02750     0.02750     0.00283   116.26389   -26.35457   -15.66059     5.00000    10.00000     0.00080        111.
  1110033   5.300   2.84500     3    51.59255  -142.47417     0.02540     0.02540     0.00283     0.02750     0.02750     0.00283   116.22152   -26.30677   -15.64775     5.00000    10.00000     0.00080        111.
