 LOQ Wed 12-AUG-1998 16:04  W 27  INST_DIRECT_BEAM2                                                                             
 Wav  0.00 >   0.00 Phi    0.0 >     0.0 Rad   0.0 >    0.0  Scaled* 0.000
   71    0    0    0    1   71    0
         0         0         0         0
 3 (F12.5,2E16.6)
     0.32943    1.450800E+00    0.000000E+00
     0.50028    1.450800E+00    0.000000E+00
     0.67580    1.450800E+00    0.000000E+00
     0.85753    1.450800E+00    0.000000E+00
     1.04392    1.450800E+00    0.000000E+00
     1.23259    1.450800E+00    0.000000E+00
     1.42201    1.450800E+00    0.000000E+00
     1.61158    1.450800E+00    0.000000E+00
     1.80118    1.450800E+00    0.000000E+00
     1.99077    1.450800E+00    0.000000E+00
     2.18037    1.450800E+00    0.000000E+00
     2.36997    1.450800E+00    0.000000E+00
     2.55957    1.441294E+00    0.000000E+00
     2.74916    1.411037E+00    0.000000E+00
     2.93876    1.380779E+00    0.000000E+00
     3.12836    1.350521E+00    0.000000E+00
     3.31796    1.320264E+00    0.000000E+00
     3.50755    1.291212E+00    0.000000E+00
     3.69715    1.291212E+00    0.000000E+00
     3.88675    1.291212E+00    0.000000E+00
     4.07635    1.303396E+00    0.000000E+00
     4.26594    1.333653E+00    0.000000E+00
     4.45554    1.363911E+00    0.000000E+00
     4.64514    1.394168E+00    0.000000E+00
     4.83474    1.424426E+00    0.000000E+00
     5.02433    1.448329E+00    0.000000E+00
     5.21393    1.429074E+00    0.000000E+00
     5.40353    1.409819E+00    0.000000E+00
     5.59313    1.390564E+00    0.000000E+00
     5.78272    1.371310E+00    0.000000E+00
     5.97232    1.352055E+00    0.000000E+00
     6.16192    1.343371E+00    0.000000E+00
     6.35152    1.336495E+00    0.000000E+00
     6.54111    1.329618E+00    0.000000E+00
     6.73071    1.322741E+00    0.000000E+00
     6.92031    1.315864E+00    0.000000E+00
     7.10991    1.308988E+00    0.000000E+00
     7.29950    1.302111E+00    0.000000E+00
     7.48910    1.295234E+00    0.000000E+00
     7.67870    1.288357E+00    0.000000E+00
     7.86830    1.281481E+00    0.000000E+00
     8.05789    1.284263E+00    0.000000E+00
     8.24749    1.309019E+00    0.000000E+00
     8.43709    1.333775E+00    0.000000E+00
     8.62669    1.358532E+00    0.000000E+00
     8.81628    1.383288E+00    0.000000E+00
     9.00588    1.408044E+00    0.000000E+00
     9.19548    1.432800E+00    0.000000E+00
     9.38508    1.457556E+00    0.000000E+00
     9.57467    1.482313E+00    0.000000E+00
     9.76427    1.507068E+00    0.000000E+00
     9.95387    1.531824E+00    0.000000E+00
    10.14347    1.537848E+00    0.000000E+00
    10.33306    1.537848E+00    0.000000E+00
    10.52266    1.537848E+00    0.000000E+00
    10.71226    1.537848E+00    0.000000E+00
    10.90186    1.537848E+00    0.000000E+00
    11.09145    1.537848E+00    0.000000E+00
    11.28105    1.537848E+00    0.000000E+00
    11.47065    1.537848E+00    0.000000E+00
    11.66025    1.537848E+00    0.000000E+00
    11.84984    1.537848E+00    0.000000E+00
    12.03944    1.537848E+00    0.000000E+00
    12.22904    1.537848E+00    0.000000E+00
    12.41864    1.537848E+00    0.000000E+00
    12.60823    1.537848E+00    0.000000E+00
    12.79783    1.537848E+00    0.000000E+00
    12.98743    1.537848E+00    0.000000E+00
    13.17703    1.537848E+00    0.000000E+00
    13.36662    1.537848E+00    0.000000E+00
    13.55622    1.537848E+00    0.000000E+00
