ENERGY/MEV , Li(11BH4-xDx x~64%) T.lt.3 BACK , ERR/B , Li(11BH4-xDx x~64%) T.lt.3 FORWARD , ERR/F , Li(11BH4-xDx x~64%) T.lt.3  , ERR/T
3.00000 , 0.0969184 , 0.0336990 , 0.0383306 , 0.0257404 , 0.0678588 , 0.0212478
3.01500 , 0.0969184 , 0.0336150 , 0.0383306 , 0.0256763 , 0.0678588 , 0.0211949
3.03008 , 0.0969184 , 0.0335313 , 0.0383306 , 0.0256123 , 0.0678588 , 0.0211421
3.04523 , 0.0962172 , 0.0333061 , 0.0380329 , 0.0253716 , 0.0673578 , 0.0209796
3.06045 , 0.0732719 , 0.0282112 , 0.0282926 , 0.0186320 , 0.0509622 , 0.0169579
3.07575 , 0.0732719 , 0.0281409 , 0.0282926 , 0.0185856 , 0.0509622 , 0.0169156
3.09113 , 0.0732719 , 0.0280708 , 0.0282926 , 0.0185393 , 0.0509622 , 0.0168735
3.10659 , 0.0746862 , 0.0281394 , 0.0279702 , 0.0183603 , 0.0515151 , 0.0168544
3.12212 , 0.0971214 , 0.0301768 , 0.0228568 , 0.0160674 , 0.0602862 , 0.0171706
3.13773 , 0.0971214 , 0.0301017 , 0.0228568 , 0.0160274 , 0.0602862 , 0.0171278
3.15342 , 0.0971214 , 0.0300267 , 0.0228568 , 0.0159875 , 0.0602862 , 0.0170852
3.16919 , 0.0952419 , 0.0296152 , 0.0231910 , 0.0158736 , 0.0595046 , 0.0168753
3.18503 , 0.0759901 , 0.0258516 , 0.0266138 , 0.0150557 , 0.0514995 , 0.0150175
3.20096 , 0.0759901 , 0.0257873 , 0.0266138 , 0.0150182 , 0.0514995 , 0.0149801
3.21696 , 0.0759901 , 0.0257230 , 0.0266138 , 0.0149808 , 0.0514995 , 0.0149428
3.23305 , 0.0751202 , 0.0254721 , 0.0251570 , 0.0145264 , 0.0503384 , 0.0147216
3.24921 , 0.0686544 , 0.0239774 , 0.0143288 , 0.0109113 , 0.0417089 , 0.0132412
3.26546 , 0.0686544 , 0.0239177 , 0.0143288 , 0.0108842 , 0.0417089 , 0.0132082
3.28179 , 0.0686544 , 0.0238581 , 0.0143288 , 0.0108571 , 0.0417089 , 0.0131753
3.29820 , 0.0700253 , 0.0240337 , 0.0134095 , 0.0104987 , 0.0419439 , 0.0131849
3.31469 , 0.0779032 , 0.0252785 , 0.00812675 , 0.00832259 , 0.0432941 , 0.0133924
3.33126 , 0.0779032 , 0.0252155 , 0.00812675 , 0.00830186 , 0.0432941 , 0.0133591
3.34792 , 0.0779032 , 0.0251527 , 0.00812675 , 0.00828118 , 0.0432941 , 0.0133258
3.36466 , 0.0791552 , 0.0252611 , 0.00940140 , 0.00880768 , 0.0445573 , 0.0134603
3.38148 , 0.0849428 , 0.0259726 , 0.0152936 , 0.0109610 , 0.0503968 , 0.0141743
3.39839 , 0.0849428 , 0.0259079 , 0.0152936 , 0.0109337 , 0.0503968 , 0.0141390
3.41538 , 0.0849428 , 0.0258433 , 0.0152936 , 0.0109064 , 0.0503968 , 0.0141037
3.43246 , 0.0875522 , 0.0262251 , 0.0169962 , 0.0114088 , 0.0525564 , 0.0143779
3.44962 , 0.0975195 , 0.0277941 , 0.0234997 , 0.0132050 , 0.0608057 , 0.0154638
3.46687 , 0.0975195 , 0.0277249 , 0.0234997 , 0.0131721 , 0.0608057 , 0.0154253
3.48420 , 0.0975195 , 0.0276558 , 0.0234997 , 0.0131393 , 0.0608057 , 0.0153868
3.50162 , 0.0964785 , 0.0272963 , 0.0222423 , 0.0127753 , 0.0596574 , 0.0151465
3.51913 , 0.0931291 , 0.0262739 , 0.0181966 , 0.0116165 , 0.0559626 , 0.0144413
3.53673 , 0.0931291 , 0.0262085 , 0.0181966 , 0.0115875 , 0.0559626 , 0.0144053
3.55441 , 0.0931291 , 0.0261432 , 0.0181966 , 0.0115587 , 0.0559626 , 0.0143694
3.57218 , 0.0915050 , 0.0258894 , 0.0164929 , 0.0109385 , 0.0542990 , 0.0141313
3.59004 , 0.0870399 , 0.0253001 , 0.0118091 , 0.00909440 , 0.0497254 , 0.0135256
3.60799 , 0.0870399 , 0.0252371 , 0.0118091 , 0.00907175 , 0.0497254 , 0.0134919
3.62603 , 0.0870399 , 0.0251742 , 0.0118091 , 0.00904915 , 0.0497254 , 0.0134583
3.64416 , 0.0862966 , 0.0250149 , 0.0129936 , 0.00947137 , 0.0499383 , 0.0134543
3.66238 , 0.0845317 , 0.0247222 , 0.0158064 , 0.0104259 , 0.0504440 , 0.0134905
3.68069 , 0.0845317 , 0.0246606 , 0.0158064 , 0.0103999 , 0.0504440 , 0.0134569
3.69910 , 0.0845317 , 0.0245992 , 0.0158064 , 0.0103740 , 0.0504440 , 0.0134234
3.71759 , 0.0823218 , 0.0240827 , 0.0169088 , 0.0106795 , 0.0498770 , 0.0132432
3.73618 , 0.0777516 , 0.0230553 , 0.0191886 , 0.0113057 , 0.0487044 , 0.0129022
3.75486 , 0.0777516 , 0.0229979 , 0.0191886 , 0.0112776 , 0.0487044 , 0.0128701
3.77364 , 0.0777516 , 0.0229406 , 0.0191886 , 0.0112495 , 0.0487044 , 0.0128380
3.79250 , 0.0767483 , 0.0226794 , 0.0198461 , 0.0115778 , 0.0485248 , 0.0127919
3.81147 , 0.0749297 , 0.0222492 , 0.0210377 , 0.0121667 , 0.0481992 , 0.0127343
3.83052 , 0.0749297 , 0.0221938 , 0.0210377 , 0.0121364 , 0.0481992 , 0.0127026
3.84968 , 0.0749297 , 0.0221386 , 0.0210377 , 0.0121062 , 0.0481992 , 0.0126710
3.86893 , 0.0760726 , 0.0223360 , 0.0236344 , 0.0125482 , 0.0500633 , 0.0128633
3.88827 , 0.0778973 , 0.0226768 , 0.0277798 , 0.0132342 , 0.0530390 , 0.0131800
3.90771 , 0.0778973 , 0.0226203 , 0.0277798 , 0.0132012 , 0.0530390 , 0.0131472
3.92725 , 0.0778973 , 0.0225640 , 0.0277798 , 0.0131683 , 0.0530390 , 0.0131144
3.94689 , 0.0817572 , 0.0230155 , 0.0286060 , 0.0134434 , 0.0553942 , 0.0133797
3.96662 , 0.0872039 , 0.0236544 , 0.0297719 , 0.0138317 , 0.0587176 , 0.0137549
3.98645 , 0.0872039 , 0.0235955 , 0.0297719 , 0.0137972 , 0.0587176 , 0.0137206
4.00639 , 0.0872039 , 0.0235367 , 0.0297719 , 0.0137628 , 0.0587176 , 0.0136864
4.02642 , 0.0949334 , 0.0244365 , 0.0218673 , 0.0116740 , 0.0586926 , 0.0136092
4.04655 , 0.104599 , 0.0255208 , 0.0119822 , 0.00840606 , 0.0586613 , 0.0135213
4.06678 , 0.104599 , 0.0254572 , 0.0119822 , 0.00838512 , 0.0586613 , 0.0134877
4.08712 , 0.104599 , 0.0253938 , 0.0119822 , 0.00836423 , 0.0586613 , 0.0134541
4.10755 , 0.101763 , 0.0249194 , 0.0153422 , 0.00950924 , 0.0588982 , 0.0134158
4.12809 , 0.0986143 , 0.0243940 , 0.0190719 , 0.0106285 , 0.0591612 , 0.0133771
4.14873 , 0.0986143 , 0.0243333 , 0.0190719 , 0.0106020 , 0.0591612 , 0.0133438
4.16947 , 0.0986143 , 0.0242727 , 0.0190719 , 0.0105756 , 0.0591612 , 0.0133106
4.19032 , 0.0893247 , 0.0230210 , 0.0214795 , 0.0112905 , 0.0556735 , 0.0128834
4.21127 , 0.0801646 , 0.0217284 , 0.0238535 , 0.0119467 , 0.0522343 , 0.0124515
4.23233 , 0.0801646 , 0.0216743 , 0.0238535 , 0.0119170 , 0.0522343 , 0.0124205
4.25349 , 0.0801646 , 0.0216203 , 0.0238535 , 0.0118873 , 0.0522343 , 0.0123895
4.27476 , 0.0881560 , 0.0226081 , 0.0206868 , 0.0109788 , 0.0546913 , 0.0126288
4.29613 , 0.0951554 , 0.0234240 , 0.0179131 , 0.0101213 , 0.0568432 , 0.0128287
4.31761 , 0.0951554 , 0.0233656 , 0.0179131 , 0.0100961 , 0.0568432 , 0.0127968
4.33920 , 0.0951554 , 0.0233074 , 0.0179131 , 0.0100710 , 0.0568432 , 0.0127649
4.36090 , 0.0899241 , 0.0225802 , 0.0153528 , 0.00918703 , 0.0529367 , 0.0122588
4.38270 , 0.0858579 , 0.0219911 , 0.0133627 , 0.00843837 , 0.0499003 , 0.0118474
