##Some comment
#q(1/A)	R	Err
0.07	0	0
0.069862	0	0
0.069724	0	0
0.069586	0	0
0.069448	0	0
0.06931	0	0
0.069172	0	0
0.069034	0	0
0.068896	0	0
0.068758	0	0
0.06862	0	0
0.068482	0	0
0.068344	0	0
0.068206	0	0
0.068068	0	0
0.06793	0	0
0.067792	0	0
0.067654	0	0
0.067516	0	0
0.067378	0	0
0.06724	0	0
0.067102	0	0
0.066964	0	0
0.066826	0	0
0.066688	2.10837e-006	0
0.06655	5.62233e-006	0
0.066412	8.4335e-006	0
0.066274	1.12447e-005	0
0.066136	1.40558e-005	0
0.065998	1.6867e-005	0
0.06586	1.96782e-005	0
0.065722	2.0381e-005	0
0.065584	1.96782e-005	0
0.065446	1.96782e-005	0
0.065308	2.0381e-005	0
0.06517	1.96782e-005	0
0.065032	1.96782e-005	0
0.064894	1.96782e-005	0
0.064756	1.96782e-005	0
0.064618	1.96782e-005	0
0.06448	1.89754e-005	0
0.064342	1.89754e-005	0
0.064204	1.89754e-005	0
0.064066	1.89754e-005	0
0.063928	1.89754e-005	0
0.06379	1.89754e-005	0
0.063652	1.89754e-005	0
0.063514	1.89754e-005	0
0.063376	1.89754e-005	0
0.063238	1.89754e-005	0
0.0631	1.82726e-005	0
0.062962	1.54614e-005	0
0.062824	1.26502e-005	0
0.062686	9.83908e-006	0
0.062548	7.02791e-006	0
0.06241	4.21675e-006	0
0.062272	1.40558e-006	0
0.062134	0	0
0.061996	0	0
0.061858	0	0
0.06172	0	0
0.061582	0	0
0.061444	0	0
0.061306	0	0
0.061168	0	0
0.06103	0	0
0.060892	0	0
0.060754	0	0
0.060616	0	0
0.060478	0	0
0.06034	0	0
0.060202	0	0
0.060064	0	0
0.059926	0	0
0.059788	0	0
0.05965	0	0
0.059512	0	0
0.059374	0	0
0.059236	0	0
0.059098	0	0
0.05896	0	0
0.058822	0	0
0.058684	0	0
0.058546	0	0
0.058408	0	0
0.05827	0	0
0.058132	0	0
0.057994	0	0
0.057856	0	0
0.057718	0	0
0.05758	0	0
0.057442	0	0
0.057304	0	0
0.057166	1.1174e-006	0
0.057028	3.35219e-006	0
0.05689	6.14568e-006	0
0.056752	8.38047e-006	0
0.056614	1.06153e-005	0
0.056476	1.22914e-005	0
0.056338	1.17327e-005	0
0.0562	1.17327e-005	0
0.056062	1.1174e-005	0
0.055924	1.17327e-005	0
0.055786	1.17327e-005	0
0.055648	1.1174e-005	0
0.05551	1.1174e-005	0
